The second linear model has 1 hidden layer with 2 neurons. The same data is used as above.
The training performance is as follows:
Epoch: 228, Loss: 15310.7, Time Elapsed: 50 milliseconds
Epoch: 229, Loss: 14627.3, Time Elapsed: 47 milliseconds
Epoch: 230, Loss: 13975.1, Time Elapsed: 55 milliseconds
Epoch: 231, Loss: 13352.5, Time Elapsed: 47 milliseconds
Epoch: 232, Loss: 12758.2, Time Elapsed: 52 milliseconds
Epoch: 233, Loss: 12191, Time Elapsed: 47 milliseconds
Epoch: 234, Loss: 11649.4, Time Elapsed: 46 milliseconds
Epoch: 235, Loss: 11132.5, Time Elapsed: 45 milliseconds
Epoch: 236, Loss: 10638.9, Time Elapsed: 51 milliseconds
Epoch: 237, Loss: 10167.8, Time Elapsed: 47 milliseconds
Epoch: 238, Loss: 9717.88, Time Elapsed: 52 milliseconds
Epoch: 239, Loss: 9288.34, Time Elapsed: 46 milliseconds
Epoch: 240, Loss: 8878.21, Time Elapsed: 49 milliseconds
Epoch: 241, Loss: 8486.59, Time Elapsed: 46 milliseconds
Epoch: 242, Loss: 8112.63, Time Elapsed: 47 milliseconds
Epoch: 243, Loss: 7755.53, Time Elapsed: 47 milliseconds
Epoch: 244, Loss: 7414.5, Time Elapsed: 50 milliseconds
Epoch: 245, Loss: 7088.82, Time Elapsed: 46 milliseconds
Epoch: 246, Loss: 6777.78, Time Elapsed: 46 milliseconds
Epoch: 247, Loss: 6480.71, Time Elapsed: 47 milliseconds
Epoch: 248, Loss: 6196.97, Time Elapsed: 51 milliseconds
Epoch: 249, Loss: 5925.96, Time Elapsed: 63 milliseconds
Epoch: 250, Loss: 5667.09, Time Elapsed: 56 milliseconds
Epoch: 251, Loss: 5419.81, Time Elapsed: 47 milliseconds
Epoch: 252, Loss: 5183.59, Time Elapsed: 48 milliseconds
Epoch: 253, Loss: 4957.93, Time Elapsed: 50 milliseconds
Epoch: 254, Loss: 4742.34, Time Elapsed: 48 milliseconds
Epoch: 255, Loss: 4536.38, Time Elapsed: 46 milliseconds
Epoch: 256, Loss: 4339.59, Time Elapsed: 49 milliseconds
Epoch: 257, Loss: 4151.58, Time Elapsed: 46 milliseconds
Epoch: 258, Loss: 3971.92, Time Elapsed: 46 milliseconds
Epoch: 259, Loss: 3800.26, Time Elapsed: 46 milliseconds
Epoch: 260, Loss: 3636.22, Time Elapsed: 54 milliseconds
Epoch: 261, Loss: 3479.47, Time Elapsed: 48 milliseconds
Epoch: 262, Loss: 3329.66, Time Elapsed: 46 milliseconds
Epoch: 263, Loss: 3186.5, Time Elapsed: 46 milliseconds
Epoch: 264, Loss: 3049.66, Time Elapsed: 54 milliseconds
Epoch: 265, Loss: 2918.89, Time Elapsed: 48 milliseconds
Epoch: 266, Loss: 2793.88, Time Elapsed: 47 milliseconds
Epoch: 267, Loss: 2674.4, Time Elapsed: 46 milliseconds
Epoch: 268, Loss: 2560.19, Time Elapsed: 50 milliseconds
Epoch: 269, Loss: 2451.01, Time Elapsed: 48 milliseconds
Epoch: 270, Loss: 2346.63, Time Elapsed: 46 milliseconds
Epoch: 271, Loss: 2246.85, Time Elapsed: 47 milliseconds
Epoch: 272, Loss: 2151.45, Time Elapsed: 51 milliseconds
Epoch: 273, Loss: 2060.23, Time Elapsed: 46 milliseconds
Epoch: 274, Loss: 1973.02, Time Elapsed: 46 milliseconds
Epoch: 275, Loss: 1889.62, Time Elapsed: 46 milliseconds
Epoch: 276, Loss: 1809.88, Time Elapsed: 49 milliseconds
Epoch: 277, Loss: 1733.62, Time Elapsed: 46 milliseconds
Epoch: 278, Loss: 1660.69, Time Elapsed: 51 milliseconds
Epoch: 279, Loss: 1590.95, Time Elapsed: 47 milliseconds
Epoch: 280, Loss: 1524.24, Time Elapsed: 51 milliseconds
Epoch: 281, Loss: 1460.44, Time Elapsed: 46 milliseconds
Epoch: 282, Loss: 1399.41, Time Elapsed: 49 milliseconds
Epoch: 283, Loss: 1341.03, Time Elapsed: 46 milliseconds
Epoch: 284, Loss: 1285.19, Time Elapsed: 51 milliseconds
Epoch: 285, Loss: 1231.76, Time Elapsed: 46 milliseconds
Epoch: 286, Loss: 1180.65, Time Elapsed: 46 milliseconds
Epoch: 287, Loss: 1131.75, Time Elapsed: 46 milliseconds
Epoch: 288, Loss: 1084.97, Time Elapsed: 55 milliseconds
Epoch: 289, Loss: 1040.2, Time Elapsed: 47 milliseconds
Epoch: 290, Loss: 997.363, Time Elapsed: 46 milliseconds
Epoch: 291, Loss: 956.369, Time Elapsed: 46 milliseconds
Epoch: 292, Loss: 917.138, Time Elapsed: 51 milliseconds
Epoch: 293, Loss: 879.593, Time Elapsed: 47 milliseconds
